"Title:","Average Weekly Earnings of All Employees from the State and Metro Area Employment, Hours, and Earnings Database"
"SubTitle:","State - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","01/2007 - 09/2022"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"01/2012",724.2,899.4,674.95,764.79,884.46,666.88,807.72,848.71,714.14,287.53,572.46,945.58,1105.72,916.3,1037.48,1081.08,784.39,1627.65,1141.16,1254.17,942.21,397.71,685.73,747.62,904.5,728.73,838.8,974.85,609.03,959.84,945.35,827.98,378.36,615.74,933.66,1078.53,916.61,1201.93,1016.34,765.71,1470.84,1377.29,1256.7,800.17,459.62,717.11,743.73,823.06,724.56,766.33,850.34,696.29,1170.38,1052.54,946.79,711.43,320.03,538.34,763.52,971.19,709.26,963.3,865.78,740.02,758.84,1011.84,795.97,259.97,433.23,834.03,1011.15,792.72,897.58,1009.89,881.52,1005.8,994.56,782.04,336.56,789.78,771.54,869.81,751.03,896.26,873.25,596.58,1094.39,833.98,371.6,666.56,963.91,589.36,1280.18,1090.98,877.3,788.03,584.74,644,796.42,670.41,269.89,499.47
"02/2012",728.41,904.55,678.19,793.24,887.46,671.46,778.11,850.22,711.74,298.39,580.81,917.32,1085.85,888.44,1027.03,1062.75,768.15,1567.51,1080.83,1205.77,911.34,386.45,667.94,738.22,894.7,720.62,841.75,950.82,603.57,930.92,923.04,822.51,389.44,613.03,915.64,1090.32,894.08,1228.66,1016.69,753.93,1442.07,1327.29,1212.08,787.8,457.74,700.49,741.57,821.87,722.37,781.28,840.46,710.31,1129.24,1028.87,945.18,701.23,323.09,526.69,762.14,970.88,704.86,963.2,854.44,735.6,754.01,1004.34,780.22,264.1,455.58,795.19,1003,747.51,900.52,1000.06,850.81,985.75,972.42,770.5,336.2,743.49,760.24,857.3,738.7,887.43,858.77,589.12,1069.57,827.51,380.36,661.3,925.51,594.75,1158.17,1033.68,891.48,781.31,590.2,648.36,768.26,683.74,274.28,506.22
"03/2012",725.07,907.9,673.88,813.78,884.1,648.81,779.33,843.1,710.34,296.75,597.49,914.94,1091.18,884.45,1034.18,1072.08,761.07,1545.8,1099.39,1201.86,908.02,383.93,663.56,738.3,913.48,716.9,859.51,970.02,603.67,944.29,910.04,818.72,398.07,619.51,912.6,1101.26,889.73,1251,1019.84,757.74,1422.4,1321.32,1201.96,782.14,458.46,708.38,740.29,828.92,720.92,793.85,844.18,707.88,1101.79,1022.14,937.91,706.88,325.13,531.19,766.36,991.33,703.36,990.52,879.01,760.03,718.08,997.46,764.26,265.42,452.52,791.28,1004.72,741.66,929.99,984.49,845.96,979.4,953.42,769.54,337.05,733.24,762.6,873.63,739.96,892.35,879.65,605.71,1078.28,817.05,368.27,663.14,932.8,593.83,1189.62,1051.13,906.49,770.67,606.86,642.51,776.87,669.58,278.52,516.8
"04/2012",735.72,930.18,681.81,820.53,915.74,666.77,809.54,859.03,718.27,295.93,613.11,935.3,1088.14,909.5,1007.42,1086.01,779.8,1591,1127.18,1244.52,932.25,401.47,675.29,750.26,921.38,730.62,877.08,967.2,617.2,967.56,939.15,831.06,390.31,621.84,930.89,1096.87,912.49,1235.43,1020.46,774,1463.89,1390.51,1241.02,788.77,462.79,732.35,755.07,835.55,738.14,790.99,854.08,724.11,1159.58,1048.5,973.42,723.57,323.34,549.36,787,993.41,728.31,1007.36,896.7,779.88,757.51,1060.03,773.42,269.1,447.39,810.99,1004.48,764.56,927.89,977.18,866.38,1035.18,992.16,791.8,337.62,737.77,787.16,878.19,765.22,881.15,887.36,606.91,1127.65,817.74,388.88,676.55,932.33,611.69,1165.58,1028.8,900.9,796.27,628.99,675.25,828.43,677.28,277.97,498.42
"05/2012",714.85,901.74,662.48,818.15,883.68,643.52,800.17,842.27,697,289.91,571.94,914.9,1095.76,881.45,1077.08,1067.78,754.97,1562.65,1108.27,1203.45,909.26,388.87,648.34,731.1,913.44,710.42,873.7,954.35,602.4,921.65,903.19,815.66,375.38,611.39,908.54,1091.33,885.44,1225.45,1013.55,755.51,1438.98,1323.5,1189.81,779.24,461.48,715.5,736.76,816.8,718.74,787.25,827.42,706.49,1132.77,1011.19,943.55,711.43,325.89,532.12,786.8,1017.86,716.68,1084.32,891.07,766.99,719.36,1021.06,766.93,281.7,484.9,784.33,980.82,739.29,922.78,950.98,834,964.96,954.7,771.24,330.74,723.12,768.02,865.02,743.9,867.45,873.21,598.27,1075.24,814.52,375.5,667.02,917.47,601.59,1148.26,1019.29,899.39,775.61,616.7,639.36,801.91,672.67,279.76,507.18
"06/2012",723.16,914.41,668.78,829.87,897.61,669.54,791.13,828.99,707.2,291.03,626.88,918.55,1099.71,885.41,1083.38,1071.34,757.94,1532.83,1108.24,1206.3,921.51,392.76,650.41,734.86,916.42,714.09,865.43,965.59,599.39,942.08,908.28,829.73,365.58,604.4,911.88,1108.26,887.77,1246.44,1026.25,753.84,1415.54,1336.25,1192.93,787.32,449.02,707.81,745.1,816.4,728.2,785.7,827.01,720.03,1148.66,1010.35,961.47,725.29,328.96,531.61,796.15,1044.23,721.94,1115.61,865.51,773.49,734.38,1022.16,767.01,294,474.89,790.23,992.16,743.82,948.91,960.54,838.4,950.13,966.6,775.1,330.74,728.01,757.24,876.11,728.37,898.57,867.86,589.03,1057.41,809.62,375.3,676.16,955.32,601.58,1184.04,1054.56,937.68,815.87,613.89,627.29,793.28,686,274.97,509.12
"07/2012",723.03,902.21,671.94,813.63,891.59,650.77,818.71,840.43,716.91,296.21,605.04,938.35,1097.15,908.95,1080.65,1072.43,769.95,1583.4,1148.25,1244.15,940.82,404.21,682.83,744.17,913.48,723.32,863.87,962.79,601.88,956.92,927.41,838.35,373.02,623.79,927.5,1107.82,906.19,1241.34,1027.16,764.48,1449.63,1374.45,1231.16,800.48,454.94,719.35,749.34,818.14,735.13,792.19,824.4,724.15,1175.52,1038.06,969.29,732.5,327.12,531.34,809.68,1035.5,740.73,1087.57,882.2,787.54,785.62,1047.99,774.14,301.79,510.07,811.79,990.39,768.69,936.56,945.98,849.37,971.22,986.11,791.3,338.58,731.3,762.32,861.76,737.88,861.89,866.57,599.26,1092.08,801.27,393.39,680.2,922.38,617.86,1157.13,1033.56,921.49,763.16,618.41,649.44,839.42,689.43,284.56,507.52
"08/2012",717.48,922.32,659.49,838.86,895.06,632.15,779.44,842.72,712.01,292.68,616.57,911.94,1090.57,878.98,1088.8,1056.78,745.12,1537.03,1101.66,1198.94,916.65,392.58,660.33,732.22,922.59,709.87,878.59,962.79,594.49,929.57,898.27,828.35,365.58,618.24,910.18,1101.64,885.77,1247.69,1012.78,743.4,1410.15,1334.06,1190.32,794.12,450.8,713.72,739.17,811.52,723.9,781.55,820.51,718.29,1121.28,1013.74,945.72,727.42,326.13,515.28,801.1,1032.02,728.74,1099.26,884.15,778.27,752.4,986.62,791.62,293.51,490,796.42,987.82,752.03,962.2,946.43,830.84,923.15,962.54,770.64,332.7,716.5,761.26,876.11,734.12,898.28,865.87,602.06,1055.82,793.55,401.03,675.39,938.92,606.73,1176.27,1059.17,958.36,764.93,612.07,627.85,803.73,680.34,280.1,522.29
"09/2012",734.19,919.78,682.66,818.47,903.9,661.74,794.01,850.63,733.56,286.52,656.94,941.85,1113.45,908.69,1103.2,1087.78,769.54,1562,1152.06,1248.06,946.28,396.3,685.66,747.4,926.78,726.77,883.6,966.74,613.01,968.95,932.55,835.92,361.8,625.49,937.76,1117.87,918.01,1281.42,1022.8,768.77,1463.67,1405.87,1253.62,805.35,460.37,731.75,763.96,832.6,746.93,800.67,843.77,738.12,1212.25,1062.56,973.09,744.15,329.44,539.93,839.34,1055.39,772.24,1147.56,881.79,826.56,859.71,1040.26,812.89,298.84,480.31,823.22,1004.94,780.92,967.1,969.31,849.41,958.79,990.72,794.98,329.71,744.07,774.49,886.18,746.5,898.79,880.62,604.4,1089.36,802.11,388.81,694.86,974.04,623.77,1250.88,1089.38,951.21,802.64,630.12,619.28,829.13,700.06,272.22,535.93
"10/2012",724.53,915.49,670.32,828.12,898.37,655.86,770.22,826,706.52,289.83,677.5,911.83,1107.09,878.45,1109.52,1079.89,739.85,1519.56,1117.76,1189.61,920.41,384.24,651.47,742.36,924.35,719.61,889.42,953.18,609.42,942.39,911.16,846.24,364.23,609.53,914.96,1110.46,891.71,1275,1015.92,745.79,1435.94,1368.11,1187.65,796.52,466.47,703.46,744.07,817.03,725.55,780.94,831.43,720.36,1131.67,1029.44,922.21,732.93,329.69,546.53,815.44,1055.63,741.26,1107.44,904.29,809.08,738.05,1032.19,771.56,282.44,504.19,807.31,1000.43,760.62,992.79,955.43,810.53,918.85,967.76,776.83,327.8,741.97,786.69,886.98,762.24,902.63,880.23,598.6,1095.63,839.63,398.47,682.76,947.64,615.53,1176.96,1064.63,968.33,777.33,601.34,609.66,804.46,702.46,275.09,541.53
"11/2012",728.5,936.58,670.07,831.72,883.19,651.24,774.78,819.83,721.82,286.12,649.77,912.22,1099.78,878.47,1093.68,1082.32,743.62,1498.99,1112.02,1199.55,923.84,383.57,647.79,740.43,926.78,719.25,889.63,957.56,598.74,937.89,913.28,843.44,373.74,621.39,922.06,1108.98,899.06,1291.3,1009.17,751.33,1448.4,1374.55,1200.85,803.07,464.98,704.94,751.07,836.4,730.4,801.34,849,720.36,1134.6,1031.72,936,737.22,328.81,546.83,797.41,993.68,739.12,982.08,899.7,786.65,767.54,1033.36,777.87,280.47,517.74,810.94,1006.43,766.3,999.36,963.63,800.09,929.02,977.44,786.24,328.63,722.45,762.52,861.55,739.63,867.45,859.18,584.68,1062.83,797.17,377.95,686.81,955.18,619.05,1133.9,1054,979.24,817.05,607.96,607.41,809.84,701.1,271.44,556.23
"01/2013",719.94,927.64,659.62,756,874.46,648.31,784.42,815.95,707.49,285.35,634.41,912.26,1110.86,876.81,1112.4,1091.67,731.77,1459.19,1107.72,1205.02,927.28,381.77,676.42,746.45,921.49,726.95,886.79,952.02,617.62,910.32,906.46,862.3,377.85,623.58,932.31,1105.51,913.44,1282.79,1004.14,762.66,1485.07,1393.57,1213.98,813.24,456.49,734.89,745.28,829.76,724.63,790.02,842.99,711.28,1126.32,1001.05,939.62,726.43,318.99,561.45,801.59,984.95,749.76,955.76,892.05,807.24,825.36,1055.05,788.24,275.66,454.5,807.76,982.53,767.97,979.86,984.05,799.94,933.24,981.71,783.9,324.22,724.33,754.64,863.36,731.91,837.72,880.47,598.33,1091.9,790.35,371.11,685.1,959.62,617.7,1225.98,1082.96,937.65,798.34,589.96,598.22,781.63,725.31,263.37,561.27
"02/2013",728.28,945.95,667.26,797.22,898.03,657.72,795.24,837.36,710.21,292.13,615.53,919.34,1120.35,883.12,1108.27,1107.98,744.31,1466.78,1112.6,1199.36,935.51,390.38,668.96,752.45,919.49,731.77,876.72,955.83,626.25,932.32,917.28,859.59,381.88,625.58,930.3,1087.27,914.55,1253.15,992.12,761.46,1479.82,1405.98,1216.61,810.08,455.42,751.4,751.3,825.95,733.72,780.32,842,714.15,1124.94,1046.73,953.87,726,330.48,558.56,814.32,1014,757.58,994.56,900,827.85,831.63,1054.5,783.89,288.23,502.98,824.46,1013.78,780.15,1020.95,1001.83,798.49,955.01,993.77,800.71,337.62,750.98,759.78,862.17,735.8,853.5,868.11,609.51,1089.85,793.74,378.92,692.91,970.82,625.5,1209.91,1081.76,949.03,826.24,599.96,603.03,791.54,734.74,271.18,562.67
"03/2013",732.96,954.53,669.12,859.31,903.53,658.1,795.93,846.3,708.79,295.26,637.24,917.24,1119.93,882.43,1115.81,1111.22,745.45,1483.63,1117.68,1194.52,923.6,389.24,682.32,750.38,924.89,729.4,885.85,962.06,630.14,925.08,915.48,855.04,384.31,624.46,931.06,1092.28,911.57,1248.56,1001.04,768.47,1483.6,1410.2,1200.6,807.58,460.7,747.18,750.03,836.3,728.74,803.8,847.26,718.98,1128.13,1013.61,949.43,717.66,332.04,560.27,804.89,1014.1,745.8,987.3,924.34,805.35,816.37,1053.72,764.61,291.29,498.88,823.44,1018.45,777.7,1020.98,1007.87,804.26,946.94,997.54,792.48,340.67,751.6,760.12,862.13,736.78,836.61,875.64,617.38,1095.98,788.07,375.06,694.88,993.01,622.61,1308,1133.34,959.58,810.43,600.95,636.87,803.59,720.94,270.12,558.57
"04/2013",725.9,942.03,665.72,860.27,893.73,646.14,797.28,863.46,698.39,289.3,650.42,922.67,1124.24,886.41,1131.23,1115.14,752.03,1539.46,1139.21,1194.39,926.95,389.33,684.5,751.86,923.1,731.14,885.2,961.47,626.58,935.78,925.27,861.6,374.19,637.32,934.08,1103.9,914.55,1281.37,995.11,773.31,1499.17,1438.51,1199.58,804.43,459.07,751.45,743.38,837.1,720.92,799.4,852.12,716.22,1128.95,1002.29,935.41,717.99,327.89,554.75,810.94,1009.2,752.03,1006.98,921.68,828.61,810.99,1031.72,765.59,291.61,535.94,823.55,1011.66,780.91,990.11,1012.2,811.21,957.31,991.51,787.45,332.21,740.43,763.86,862.85,742.25,844.13,871.84,618.05,1083.66,798.37,361.75,702.1,995.68,629.56,1289.38,1132.93,990.79,804.84,606.2,665.64,815.14,728.8,269.87,570.7
"05/2013",718.51,928.73,658.09,856.86,883.21,641.54,807.92,840.84,689.71,288.77,649.68,921.3,1125.96,884.07,1120.39,1124.7,754.95,1514.63,1136.55,1193.09,925.34,392.04,674.87,748.64,920.3,728.29,880.71,963.7,629.13,932.77,914.73,864.03,367.73,626.04,928.37,1094.61,909.59,1278.95,980.66,769.65,1498.49,1436.55,1191.6,801.86,464.43,749.53,738.48,831.92,718.6,801.34,842.34,708.63,1126.73,1031.02,929.66,717.44,324.85,544.49,823.96,1037,760.16,1073.78,915.55,843.17,814.14,1070.94,763.62,301.39,497.66,821.02,1009.7,777.43,985.99,1004.55,790.5,953.64,992.63,782.86,336.64,730.42,774.75,859.88,752.76,861.04,859.3,631.72,1109.35,796.42,382.93,706.84,1034.08,624.93,1305.69,1163.98,1037.87,849.87,607.26,656.97,796.26,727.09,269.35,560.96
"06/2013",738.59,942.56,681.04,862.17,903.11,659.9,828.74,865.13,716.15,293.76,723.36,951.21,1140.16,918.14,1147.87,1133.64,785.04,1551.55,1185.9,1251.35,952.19,405.79,707.42,761.07,922.19,741.23,874.82,977.36,636.26,971.91,948.7,869.65,368.46,643.76,953.15,1090.8,935.85,1243.47,994.5,779.8,1565.53,1521.9,1241.9,810.23,461.21,783.1,755.24,839.92,735.17,795.6,856.52,728.7,1226.52,1059.94,955.71,728.94,325.78,564.34,869.5,1114.51,793.1,1179.63,944.98,878.63,849.25,1130.02,770.3,315.51,625.51,843.97,1025.12,801.71,1003.07,1009.68,813.29,999.58,1024.53,800.33,340.99,735.64,774.75,856.05,754.73,838.63,870.5,628.99,1117.63,815.92,386.02,715.8,1030.52,638.18,1369.04,1178.65,1008.45,824.46,623.75,692.66,805.92,742.79,272.73,569.96
"07/2013",721.95,932.8,663.25,858.49,899.89,639.38,796.54,850.08,697.14,291.58,656.37,923.01,1128.66,885.41,1148.71,1113.95,755.65,1479.44,1143.81,1192.8,936.77,391.94,687.04,750.01,915.16,731.14,876.03,964.35,630.26,950.54,921.59,861.54,366.3,630.7,938.01,1110.91,918.5,1294.88,984.92,780.22,1487.09,1443.3,1199.45,816.08,465.58,756.84,734.96,831.02,714.78,784.06,849.61,722.45,1121.65,1008.72,910.75,715.48,321.68,546.26,841.3,1061.68,770.89,1121.47,886.21,834.99,805.92,1095.71,771.32,311.44,613.91,822.83,1028.48,775.55,986.96,1017.44,790.5,955.7,979.1,783.92,330.12,682.52,768.27,856.05,746.5,857.74,856.15,634.76,1071.92,814.77,391.64,709.67,1012.66,632.21,1339.01,1151.74,990.72,818.9,620.57,666.46,767.54,751.03,274.54,555.86
"08/2013",729.22,941.3,668.7,869.02,911.18,645.45,793.72,857.19,705.26,291.6,673.62,926.33,1126.93,890.02,1156.41,1108.02,756.8,1495.13,1154.61,1194.29,936.77,396.23,689.51,751.64,919.7,730.62,882.29,965.12,622.17,953.06,917.06,865.35,363.87,628.92,939.08,1113.22,918.91,1284.5,995.47,780.91,1465.1,1470.27,1184.05,812.59,473.04,762.82,743.55,844.93,720.11,817.89,856.96,720.71,1137.7,1014.41,925.61,718.75,320.48,559.02,862.22,1120.77,779.01,1161.9,957.25,844.27,825.1,1110.37,771.54,307.93,665.82,827.37,1033.89,779.67,1001.13,1022.26,790.87,946.27,993.39,785.13,334.67,676.56,774.49,857.13,754.35,858.49,858,635.44,1118.52,812.61,396.46,712.36,1029.51,631.8,1349.46,1167.33,1006.13,837.39,615.65,701.34,771.1,740.86,275.87,577.72
"09/2013",748.84,948.67,691.57,910.77,914.53,664.64,829.82,902.5,714.27,286.18,707.42,954.45,1138.02,921.64,1155.52,1123.99,782.19,1570.42,1191.74,1245.5,968.7,405,706.56,762.8,925,742.92,871.92,985.28,638.03,986.23,942.28,868.66,355.1,629.89,956.16,1114.56,938.78,1283.4,1002.12,795.45,1482.25,1516.54,1225.43,822.31,476.21,796.42,758.1,853.21,735.5,826.86,866.11,739.56,1167.3,1019.18,955.3,728.41,320.48,577.39,875.47,1126.65,795.67,1139.76,952,869.95,877.33,1156.39,770.57,310.89,680.23,850.08,1052.07,802.37,1001,1046.15,809.41,995.67,1012.69,796.31,334.62,694.05,785.81,855.51,767.92,861.5,853.47,659.26,1133.14,833.83,390.72,724.46,1055.39,639.94,1373.49,1188.9,1026.29,872.49,616.33,730.24,772.9,752.9,275.1,599.44
"10/2013",732.11,953.93,668.44,903.78,926.64,647.64,774.27,863.87,695.1,288.06,678.38,927.13,1134.12,891.1,1154.05,1121.95,752.15,1530.7,1150.6,1201.81,936.87,392.21,670.22,752.74,913.71,732.98,868.28,965.93,629.97,971.29,917.56,863.74,362.88,618.61,935.51,1104.57,914.55,1253.67,1002.73,776,1452.54,1461.76,1177.28,811.38,488.17,748.07,740.63,834.48,718.93,812.23,846.15,721.05,1117.05,981.72,918.74,723.24,320.22,561.45,849.42,1103.37,770.2,1115.23,940.5,844.56,842.06,1125.36,760.5,296.73,593.87,832.83,1054.94,782.12,997.48,1055.77,779.51,954,974.53,781.2,334.24,681.47,783.02,855.9,765.88,863.04,854.5,643.62,1115.41,848.49,404.24,716.15,1052.9,631.8,1446.9,1198.08,983.2,848.72,614.88,715.36,748.35,741.91,273.26,584.98
"11/2013",728.5,953.06,666.31,876.66,934.41,640.8,771.45,870.3,701.16,284.57,673.01,926.14,1127.33,890.44,1135.83,1120.39,749.17,1508.79,1159.24,1205.23,939.01,393.26,680.78,754.94,908.27,736.51,852.6,969.74,632.94,984.35,914.73,863.8,368,627.19,939.56,1103.42,918.53,1272.76,993.72,780.44,1468.56,1484.07,1176.59,812.99,491.12,739.35,748.4,852.72,724.76,822.67,865.65,717.24,1183.75,997.67,932.21,725.45,321.25,559.55,858.84,1132.27,774.19,1159.15,943.59,853.39,871.7,1123.66,761.8,291.7,609.48,837.67,1051.49,788.88,996.01,1049.33,772.26,969.95,992.18,788.51,336,677.41,769.78,839.94,752.65,837.89,843.9,621.23,1130.58,827.87,379.76,717.15,1052.74,635.83,1407,1181.69,982.8,877.9,614.84,709.1,754.73,736.02,274.56,590.4
"01/2014",720.3,922.81,663,912.85,905.43,643.73,750.06,861.71,698.08,279.15,649.38,923.75,1126.14,890.06,1122.59,1129.7,744.11,1529.63,1171.4,1191.38,939.06,393.33,691.66,757.19,900.03,739.87,845.12,963.09,645.02,984.72,912.22,861.68,381.32,624.9,937.2,1108.71,915.78,1279.44,1009.95,777.12,1461.18,1493.71,1181.24,800.72,479.79,734.49,739.84,834.4,717.85,797.34,852.72,721.73,1152.97,987.17,912.61,720.46,311,540.58,838.24,1090.52,767.33,1122.39,885.48,855.39,907,1065.24,756.38,289.51,615.38,845.46,1070.17,793.85,1000.78,1073.19,765.99,965.25,1013.8,781.3,337.43,669.6,761.64,840.56,746.24,818.04,857.87,625.76,1118.3,837.43,371.91,701.05,986.46,634.35,1391.41,1155.47,911.8,778.27,612.33,700,726.23,752.99,267.34,603.51
"02/2014",737.45,920.18,686.47,876.9,901.91,661.63,791.62,901.69,713.97,287.23,656.5,957,1136.38,924.79,1132.1,1140.85,771.05,1597.23,1232.33,1254.14,959.14,413.6,706.9,767.43,909.22,750.38,853.25,973.83,663.42,989.63,928.93,865.92,396.51,632.79,952.22,1073.75,939.56,1216.58,1008.54,788.22,1467.85,1554.28,1225.31,805,491.28,774.21,748.83,827.99,729.31,767.83,855.97,713.97,1256.15,1020.83,959.2,719.68,303.23,532.51,874.72,1132.57,800.38,1119.59,916.05,926.74,944.1,1125.77,757.11,304.3,633.12,872.16,1083.37,823.2,992.78,1094.12,784.58,1010.63,1063.24,798.67,350.24,703.99,761.31,838.07,744.96,820.54,853.21,603.75,1118.29,831.93,390.13,708.56,992.09,643.86,1373.68,1140.41,895.2,806.4,618.38,703.46,728.04,762.24,270.46,617.85
"03/2014",750.96,958.5,691.55,897.04,934.62,671.61,808.13,904.91,718.61,292.1,675.26,955.26,1142.88,922.75,1149.97,1140.88,769.74,1583.37,1240.13,1252.52,954.38,412.78,705.01,764.31,910.4,747.66,862.02,961.04,664.61,994.84,923.83,855.4,402,631.88,957.22,1091.9,941.06,1253.16,1007.65,800.62,1484.54,1567.5,1226.39,795.87,492.66,784.32,781.79,891.1,757.44,864.38,905.24,764.21,1201.88,1053.13,999.12,727.75,322.34,552.8,862.05,1162.61,774.54,1147.7,914.93,900.66,882.75,1083,752,311.66,601.39,873.42,1088.37,821.78,1005.77,1102.11,801.42,1019.55,1059.16,781.82,356.48,704.84,760.32,838.13,745.28,815.6,855.55,624.51,1101.06,823.16,375.5,709.33,1002.82,640.76,1375.07,1153.68,925.91,814.96,618.24,698.72,729.68,746.81,276.92,654.08
"04/2014",738.34,941.07,680.73,901.87,916.6,673.48,782.64,884.63,708.15,289.12,647.54,931.61,1133.3,895.45,1141.64,1134,756.28,1522.88,1195.01,1209.33,934.87,400.68,696.07,765.74,898.55,748.81,850.08,948.84,662.8,966.74,910.58,853.3,392.04,625.63,945.84,1116.45,924.33,1291.98,1013.97,803.7,1439.36,1521.39,1189.89,789.66,497.74,765.87,756.9,872.23,732.72,833.6,892.74,724.85,1144.31,1001.65,965.69,730.19,318.76,542.91,862.4,1128.18,781.05,1164.66,888.57,885.33,893.35,1083.26,775.38,312.62,572.67,857.04,1087.6,804.69,1010.45,1095.49,785.9,982.12,1029.32,773.27,345.63,721.52,775.53,874.08,751.23,868.64,880.06,631.22,1077.36,820.53,375.27,716.56,1014.75,643.69,1402.66,1173.58,963.82,800.75,637.5,687.59,733.6,746.32,279.79,634.91
"05/2014",736.63,934.37,680.74,915.94,908.6,666.08,802.19,886.95,703.38,287.53,657.14,928.87,1135.88,892.78,1156.62,1132.84,756.41,1491.47,1194.28,1206.43,929.6,406.71,683.58,756.5,893.6,740.02,857.7,930.55,644.98,960.51,918.48,844.23,385.21,633.4,940.46,1126.56,918.72,1297.84,1025.2,795.83,1433.74,1525.51,1185.05,784,503.09,759.03,751.95,870.24,726.21,842.49,886.88,720.68,1158.25,1007.45,946.76,729.54,315.02,552.34,866.24,1156.98,774.8,1231.7,905.08,888.93,880.8,1112.1,744.5,311.99,564.25,858.66,1088.76,804.45,993.98,1112.78,782.6,985.06,1040.11,775.88,348.72,692.67,771.06,866.19,749.45,862.47,867.73,633.6,1076.3,815.08,391.41,710.31,997.6,640.28,1354.69,1127.09,925.3,819.86,642.94,695.39,724.36,741.89,280.1,629.88
"06/2014",751.08,945,697.35,914.33,924.88,674.26,819.91,916.37,724.76,292.13,702.99,957.6,1140.94,924.73,1154.77,1144.52,776.14,1554.36,1255.46,1266.15,952.25,420.62,711.37,766.59,902.49,750.02,861.22,945.46,652.19,997.9,941.62,840.39,387.38,635.38,963.9,1118.63,943.88,1264.69,1034.98,802.9,1530.37,1619.73,1242.5,787.8,481.92,782.78,765.25,889.44,737,861.52,904.89,731.13,1199.2,1042.14,974.62,724.46,318.33,555.14,895.85,1174.38,805.71,1249.71,898.79,932.25,911.24,1110.82,771.07,324.81,624.45,879.33,1110.99,826.24,1019.1,1129.24,797.04,1040.27,1075.94,791.95,354.07,700.49,781.12,863.01,762.89,863.18,861.31,636.94,1075.45,842.82,393.85,724.99,1042.49,646.59,1425.04,1183.96,974.64,845.88,636.31,727.53,739.33,750.11,281.11,652.46
"07/2014",735.97,935.9,679.39,918.1,918.59,671.18,796.8,887.92,704.87,284.88,652.8,937.76,1134.06,903.5,1151.21,1137.01,757.81,1496.26,1229.69,1225,935.06,416.25,704.62,762.15,905.33,744.24,869.42,943.02,657.79,968.58,923.28,837.6,386.81,617.9,945.72,1131.98,922.96,1289.45,1036.39,799.71,1506.88,1522.18,1196.3,785.28,475.42,758.58,749.52,878.62,720.26,862.92,889.15,713.11,1137.24,988.26,946.4,724.96,314.92,552.45,888.99,1196.1,787.24,1304.6,899.71,900.46,889.62,1073.67,754.74,317.49,653.21,861.59,1098.14,805.97,1029.14,1093.1,781.41,996.79,1049.82,785.65,344.68,676.1,772.33,870.37,750.45,882.9,859.88,633.12,1070.3,829.67,402.34,730.3,1041.25,654.27,1413.76,1181.8,985.45,851.4,638.46,710.31,753.82,764.05,283.74,660.54
"08/2014",741.19,947.33,683.77,951.75,926.83,663.52,794.61,900.98,710.16,289.3,668.93,940.82,1138.21,904.85,1163.24,1134.85,765.74,1496.29,1212.57,1226.16,934.25,424.12,700.06,766.09,912.94,748.14,877.83,950.23,665.98,969.25,927,838.95,390.01,651.75,946.49,1145.99,922.41,1315.2,1040,795.92,1503.17,1499.61,1202.43,789.34,474.81,764.3,755.24,882,725.09,858.08,896.66,712.75,1181.14,1012.51,946.13,732.1,322.24,555.58,888.78,1181.92,792.92,1250.28,933.66,906.72,869.39,1086.87,765.91,326.53,651.34,869.06,1111.29,810.6,1049.02,1101.24,782,997.15,1065.58,782.69,351.69,687.06,775.77,864.17,754.33,880.94,851.92,642.36,1070.85,840.6,402.69,726.41,1035.8,649.97,1411.22,1176.63,982.8,839.1,649.14,731.66,736.89,747.79,281.42,675.51
"09/2014",740.89,944.67,682.4,941.48,927.41,663.74,795.7,889.75,708.72,282.7,717.01,942.56,1141.11,907.18,1157.73,1142.91,770.53,1486.35,1218.08,1222.5,939.73,419.75,709.08,762.15,911.18,742.36,877.3,949.15,658.9,972.04,925.34,842.8,379.78,631.12,952.82,1157.75,929.27,1333.88,1040.38,794.42,1519.1,1511.67,1207.85,793.83,484,793.28,757.85,888.7,726.66,852.4,910.34,722.65,1180.73,1028.38,944.1,712.61,321.88,560.58,895.59,1209.6,791.87,1289.34,934.57,905.69,855.2,1108.88,774.85,322.97,590.8,868.5,1118.42,808.16,1038.13,1116.69,778.23,1003.2,1055.8,777.43,344.72,693.89,789.57,869.12,770.34,888.97,857.59,646.02,1083.5,878.8,395.52,728.24,1032.51,654.37,1381.79,1150.05,960.1,870.22,653.33,725.62,745.91,755.65,279.29,654.44
